timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname
1750703224872,10, HTTP Request Sampler,200,OK,Thread Group 1-17,true,,340,26,26,10,1,0,T-OZEROVA.local
1750703224861,21,character/2,404,Not Found,Thread Group 1-19,false,,273,26,26,21,1,1,T-OZEROVA.local
1750703224787,96,characters,200,OK,Thread Group 1-21,true,,340,26,26,96,1,0,T-OZEROVA.local
1750703224874,10, HTTP Request Sampler,200,OK,Thread Group 1-11,true,,340,26,26,10,1,0,T-OZEROVA.local
1750703224874,10,characters,200,OK,Thread Group 1-13,true,,340,25,25,10,1,0,T-OZEROVA.local
1750703224875,10,characters,200,OK,Thread Group 1-12,true,,340,25,25,10,1,0,T-OZEROVA.local
1750703224876,10, HTTP Request Sampler,200,OK,Thread Group 1-14,true,,340,25,25,10,1,0,T-OZEROVA.local
1750703224879,8,characters/id,404,Not Found,Thread Group 1-15,false,,273,26,26,8,1,1,T-OZEROVA.local
1750703224880,8,character/2,200,OK,Thread Group 1-16,true,,268,27,27,8,1,0,T-OZEROVA.local
1750703224881,9,characters,200,OK,Thread Group 1-18,true,,340,27,27,9,1,0,T-OZEROVA.local
1750703224882,9,characters,200,OK,Thread Group 1-17,true,,340,27,27,9,1,0,T-OZEROVA.local
1750703224884,10,characters/id,404,Not Found,Thread Group 1-19,false,,273,27,27,10,1,1,T-OZEROVA.local
1750703224872,22,character/2,200,OK,Thread Group 1-20,true,,268,28,28,22,1,0,T-OZEROVA.local
1750703224793,102,characters,200,OK,Thread Group 1-22,true,,340,28,28,102,1,0,T-OZEROVA.local
1750703224886,12,character/2,404,Not Found,Thread Group 1-13,false,,273,28,28,12,1,1,T-OZEROVA.local
1750703224886,13,character/2,200,OK,Thread Group 1-12,true,,268,28,28,13,1,0,T-OZEROVA.local
1750703224887,13,characters,200,OK,Thread Group 1-14,true,,340,28,28,13,1,0,T-OZEROVA.local
1750703224889,13, HTTP Request Sampler,200,OK,Thread Group 1-15,true,,340,29,29,13,1,0,T-OZEROVA.local
1750703224890,13,characters/id,404,Not Found,Thread Group 1-16,false,,273,29,29,13,1,1,T-OZEROVA.local
1750703224891,14,character/2,200,OK,Thread Group 1-18,true,,264,29,29,14,1,0,T-OZEROVA.local
1750703224893,13,character/2,200,OK,Thread Group 1-17,true,,268,29,29,13,1,0,T-OZEROVA.local
1750703224894,13, HTTP Request Sampler,200,OK,Thread Group 1-19,true,,340,29,29,13,1,0,T-OZEROVA.local
1750703224895,12,characters/id,404,Not Found,Thread Group 1-20,false,,273,29,29,12,1,1,T-OZEROVA.local
1750703224884,24,character/2,404,Not Found,Thread Group 1-21,false,,273,29,29,24,1,1,T-OZEROVA.local
1750703224799,109,characters,200,OK,Thread Group 1-23,true,,340,29,29,109,1,0,T-OZEROVA.local
1750703224899,12,characters/id,404,Not Found,Thread Group 1-13,false,,273,29,29,12,1,1,T-OZEROVA.local
1750703224899,14,characters/id,200,OK,Thread Group 1-12,true,,264,30,30,14,1,0,T-OZEROVA.local
1750703224900,14,character/2,404,Not Found,Thread Group 1-14,false,,273,30,30,14,1,1,T-OZEROVA.local
1750703224902,14,characters,200,OK,Thread Group 1-15,true,,340,30,30,14,1,0,T-OZEROVA.local
1750703224904,13, HTTP Request Sampler,200,OK,Thread Group 1-16,true,,340,30,30,13,1,0,T-OZEROVA.local
1750703224905,13,characters/id,404,Not Found,Thread Group 1-18,false,,273,31,31,13,1,1,T-OZEROVA.local
1750703224906,13,characters/id,404,Not Found,Thread Group 1-17,false,,273,31,31,13,1,1,T-OZEROVA.local
1750703224907,13,characters,200,OK,Thread Group 1-19,true,,340,31,31,13,1,0,T-OZEROVA.local
1750703224907,15, HTTP Request Sampler,200,OK,Thread Group 1-20,true,,340,32,32,15,1,0,T-OZEROVA.local
