timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1750702114425,1,characters/id,404,Not Found,Thread Group 1-17,text,false,,273,123,1,1,http://localhost:3001/character/9,1,0,0
1750702114426,1, HTTP Request Sampler,200,OK,Thread Group 1-17,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702114427,2,characters,200,OK,Thread Group 1-17,text,true,,340,122,1,1,http://localhost:3001/characters,2,0,0
1750702114429,1,character/2,404,Not Found,Thread Group 1-17,text,false,,273,229,1,1,http://localhost:3001/character/7,1,0,0
1750702114430,1,characters/id,404,Not Found,Thread Group 1-17,text,false,,273,123,1,1,http://localhost:3001/character/8,1,0,0
1750702114431,1, HTTP Request Sampler,200,OK,Thread Group 1-17,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702114707,2,characters,200,OK,Thread Group 1-18,text,true,,340,122,1,1,http://localhost:3001/characters,2,0,0
1750702114709,2,character/2,404,Not Found,Thread Group 1-18,text,false,,273,229,1,1,http://localhost:3001/character/9,2,0,0
1750702114711,1,characters/id,200,OK,Thread Group 1-18,text,true,,264,123,1,1,http://localhost:3001/character/1,1,0,0
1750702114712,1, HTTP Request Sampler,200,OK,Thread Group 1-18,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702114713,1,characters,200,OK,Thread Group 1-18,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702114714,1,character/2,404,Not Found,Thread Group 1-18,text,false,,273,229,1,1,http://localhost:3001/character/6,1,0,0
1750702114715,1,characters/id,200,OK,Thread Group 1-18,text,true,,268,123,1,1,http://localhost:3001/character/3,1,0,0
1750702114716,1, HTTP Request Sampler,200,OK,Thread Group 1-18,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702115012,2,characters,200,OK,Thread Group 1-19,text,true,,340,122,1,1,http://localhost:3001/characters,2,0,0
1750702115015,1,character/2,404,Not Found,Thread Group 1-19,text,false,,273,229,1,1,http://localhost:3001/character/6,1,0,0
1750702115016,1,characters/id,200,OK,Thread Group 1-19,text,true,,268,123,1,1,http://localhost:3001/character/3,1,0,0
1750702115017,1, HTTP Request Sampler,200,OK,Thread Group 1-19,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702115018,1,characters,200,OK,Thread Group 1-19,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702115019,1,character/2,200,OK,Thread Group 1-19,text,true,,264,229,1,1,http://localhost:3001/character/1,1,0,0
1750702115020,1,characters/id,200,OK,Thread Group 1-19,text,true,,264,123,1,1,http://localhost:3001/character/1,1,0,0
1750702115021,1, HTTP Request Sampler,200,OK,Thread Group 1-19,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702115291,3,characters,200,OK,Thread Group 1-20,text,true,,340,122,1,1,http://localhost:3001/characters,3,0,1
1750702115295,1,character/2,404,Not Found,Thread Group 1-20,text,false,,273,229,1,1,http://localhost:3001/character/9,1,0,0
1750702115296,1,characters/id,404,Not Found,Thread Group 1-20,text,false,,273,123,1,1,http://localhost:3001/character/9,1,0,0
1750702115297,1, HTTP Request Sampler,200,OK,Thread Group 1-20,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702115298,1,characters,200,OK,Thread Group 1-20,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702115299,1,character/2,404,Not Found,Thread Group 1-20,text,false,,273,229,1,1,http://localhost:3001/character/4,1,0,0
1750702115300,1,characters/id,200,OK,Thread Group 1-20,text,true,,268,123,1,1,http://localhost:3001/character/3,1,0,0
1750702115301,1, HTTP Request Sampler,200,OK,Thread Group 1-20,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702115578,2,characters,200,OK,Thread Group 1-21,text,true,,340,122,1,1,http://localhost:3001/characters,2,0,1
1750702115581,1,character/2,404,Not Found,Thread Group 1-21,text,false,,273,229,1,1,http://localhost:3001/character/8,1,0,0
1750702115582,1,characters/id,200,OK,Thread Group 1-21,text,true,,268,123,1,1,http://localhost:3001/character/3,1,0,0
1750702115583,1, HTTP Request Sampler,200,OK,Thread Group 1-21,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702115584,1,characters,200,OK,Thread Group 1-21,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702115585,0,character/2,404,Not Found,Thread Group 1-21,text,false,,273,229,1,1,http://localhost:3001/character/8,0,0,0
1750702115586,0,characters/id,404,Not Found,Thread Group 1-21,text,false,,273,123,1,1,http://localhost:3001/character/8,0,0,0
1750702115586,1, HTTP Request Sampler,200,OK,Thread Group 1-21,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702115869,2,characters,200,OK,Thread Group 1-22,text,true,,340,122,1,1,http://localhost:3001/characters,2,0,1
1750702115872,0,character/2,404,Not Found,Thread Group 1-22,text,false,,273,229,1,1,http://localhost:3001/character/8,0,0,0
1750702115873,1,characters/id,200,OK,Thread Group 1-22,text,true,,264,123,1,1,http://localhost:3001/character/1,1,0,0
1750702115874,1, HTTP Request Sampler,200,OK,Thread Group 1-22,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702115875,1,characters,200,OK,Thread Group 1-22,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702115877,1,character/2,200,OK,Thread Group 1-22,text,true,,273,229,1,1,http://localhost:3001/character/2,1,0,0
1750702115878,1,characters/id,404,Not Found,Thread Group 1-22,text,false,,273,123,1,1,http://localhost:3001/character/5,1,0,0
1750702115879,1, HTTP Request Sampler,200,OK,Thread Group 1-22,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702116163,3,characters,200,OK,Thread Group 1-23,text,true,,340,122,1,1,http://localhost:3001/characters,3,0,0
1750702116166,1,character/2,404,Not Found,Thread Group 1-23,text,false,,273,229,1,1,http://localhost:3001/character/4,1,0,0
1750702116167,1,characters/id,200,OK,Thread Group 1-23,text,true,,268,123,1,1,http://localhost:3001/character/3,1,0,0
1750702116168,1, HTTP Request Sampler,200,OK,Thread Group 1-23,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702116169,1,characters,200,OK,Thread Group 1-23,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702116170,1,character/2,200,OK,Thread Group 1-23,text,true,,268,229,1,1,http://localhost:3001/character/3,1,0,0
1750702116171,1,characters/id,404,Not Found,Thread Group 1-23,text,false,,273,123,1,1,http://localhost:3001/character/7,1,0,0
1750702116172,1, HTTP Request Sampler,200,OK,Thread Group 1-23,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702116451,3,characters,200,OK,Thread Group 1-24,text,true,,340,122,1,1,http://localhost:3001/characters,3,0,1
